"Extracted from the UNHCR Population Statistics Reference Database, United Nations High Commissioner for Refugees.",,,,,,,,,,,,,,,,
Date extracted: 2015-02-10 23:13 +00:00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Time Series – Persons of concern to UNHCR,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country / territory of residence,Origin / Returned from,Population type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Argentina,Botswana,Asylum seekers,,,,,,,,,,,1,1,,
Argentina,Brazil,Refugees,,,,,,,,,,,,,,*
Argentina,Brazil,Asylum seekers,,,,,,1,1,2,,,,,1,
Argentina,Brazil,Returned refugees,,,,,4,,,,,,,,,
Argentina,Bulgaria,Refugees,1,1,1,1,1,1,1,1,2,2,2,2,2,*
Argentina,Bulgaria,Asylum seekers,5,5,5,5,5,4,5,5,,,,,,
Argentina,Burkina Faso,Asylum seekers,,,,,,,,,,,1,,,
Argentina,Burundi,Refugees,,,,2,2,2,2,2,3,6,6,5,5,5
Argentina,Burundi,Asylum seekers,,,,,1,1,,3,,,1,2,2,*
Argentina,Cambodia,Refugees,,,24,44,51,51,49,49,,,,,,
Argentina,Cameroon,Refugees,,,,,,1,2,3,4,5,7,8,8,11
Argentina,Cameroon,Asylum seekers,,,,,8,21,18,19,2,,14,27,14,8
Argentina,Cape Verde,Asylum seekers,,,,,,,,,1,1,1,,,
Argentina,Central African Republic,Refugees,,,,,,1,1,1,2,2,2,2,2,*
Argentina,Central African Republic,Asylum seekers,,,,1,4,5,5,5,,,1,,1,
Argentina,Chad,Refugees,,,,,1,1,1,1,1,1,1,2,2,*
Argentina,Chad,Asylum seekers,,,,1,,3,3,3,1,,,,,
Argentina,Chile,Refugees,10,10,10,11,13,13,13,13,153,335,336,336,336,36
